Protein1_STRING_ID	Protein2_STRING_ID	Combined_Score	Protein1_Name	Protein2_Name	Protein1_Ensembl_Gene_ID	Protein2_Ensembl_Gene_ID
10090.ENSMUSP00000001055	10090.ENSMUSP00000000590	995	Icam2	Rdx	ENSMUSG00000001029	ENSMUSG00000032050
10090.ENSMUSP00000001258	10090.ENSMUSP00000013931	995	Uhrf1	Ehmt2	ENSMUSG00000001228	ENSMUSG00000013787
10090.ENSMUSP00000002529	10090.ENSMUSP00000002551	995	Prpf6	Snrpd1	ENSMUSG00000002455	ENSMUSG00000002477
10090.ENSMUSP00000002551	10090.ENSMUSP00000002529	995	Snrpd1	Prpf6	ENSMUSG00000002477	ENSMUSG00000002455
10090.ENSMUSP00000002844	10090.ENSMUSP00000003386	995	Mrpl2	Mrpl4	ENSMUSG00000002767	ENSMUSG00000003299
10090.ENSMUSP00000002891	10090.ENSMUSP00000012627	995	Top3a	Rpa3	ENSMUSG00000002814	ENSMUSG00000012483
10090.ENSMUSP00000003386	10090.ENSMUSP00000002844	995	Mrpl4	Mrpl2	ENSMUSG00000003299	ENSMUSG00000002767
10090.ENSMUSP00000003521	10090.ENSMUSP00000008036	995	Rps11	Rplp1	ENSMUSG00000003429	ENSMUSG00000007892
10090.ENSMUSP00000005452	10090.ENSMUSP00000000186	995	Fgfr4	Fgf23	ENSMUSG00000005320	ENSMUSG00000000182
10090.ENSMUSP00000005452	10090.ENSMUSP00000000187	995	Fgfr4	Fgf6	ENSMUSG00000005320	ENSMUSG00000000183
10090.ENSMUSP00000008036	10090.ENSMUSP00000003521	995	Rplp1	Rps11	ENSMUSG00000007892	ENSMUSG00000003429
10090.ENSMUSP00000012627	10090.ENSMUSP00000002891	995	Rpa3	Top3a	ENSMUSG00000012483	ENSMUSG00000002814
10090.ENSMUSP00000013931	10090.ENSMUSP00000001258	995	Ehmt2	Uhrf1	ENSMUSG00000013787	ENSMUSG00000001228
10090.ENSMUSP00000000369	10090.ENSMUSP00000000451	994	Rem1	Raf1	ENSMUSG00000000359	ENSMUSG00000000441
10090.ENSMUSP00000000451	10090.ENSMUSP00000000369	994	Raf1	Rem1	ENSMUSG00000000441	ENSMUSG00000000359
10090.ENSMUSP00000000759	10090.ENSMUSP00000005711	994	Chmp1a	Chmp2a	ENSMUSG00000000743	ENSMUSG00000033916
10090.ENSMUSP00000001565	10090.ENSMUSP00000002733	994	Gtf2h4	Gtf2f1	ENSMUSG00000001524	ENSMUSG00000002658
10090.ENSMUSP00000001818	10090.ENSMUSP00000002551	994	Crnkl1	Snrpd1	ENSMUSG00000001767	ENSMUSG00000002477
10090.ENSMUSP00000002529	10090.ENSMUSP00000003450	994	Prpf6	Ddx23	ENSMUSG00000002455	ENSMUSG00000003360
10090.ENSMUSP00000002551	10090.ENSMUSP00000001818	994	Snrpd1	Crnkl1	ENSMUSG00000002477	ENSMUSG00000001767
10090.ENSMUSP00000002551	10090.ENSMUSP00000007266	994	Snrpd1	Lsm2	ENSMUSG00000002477	ENSMUSG00000007050
10090.ENSMUSP00000002733	10090.ENSMUSP00000001565	994	Gtf2f1	Gtf2h4	ENSMUSG00000002658	ENSMUSG00000001524
10090.ENSMUSP00000003029	10090.ENSMUSP00000013845	994	Timm44	Timm23	ENSMUSG00000002949	ENSMUSG00000013701
10090.ENSMUSP00000003450	10090.ENSMUSP00000002529	994	Ddx23	Prpf6	ENSMUSG00000003360	ENSMUSG00000002455
10090.ENSMUSP00000005711	10090.ENSMUSP00000000759	994	Chmp2a	Chmp1a	ENSMUSG00000033916	ENSMUSG00000000743
10090.ENSMUSP00000007266	10090.ENSMUSP00000002551	994	Lsm2	Snrpd1	ENSMUSG00000007050	ENSMUSG00000002477
10090.ENSMUSP00000013845	10090.ENSMUSP00000003029	994	Timm23	Timm44	ENSMUSG00000013701	ENSMUSG00000002949
10090.ENSMUSP00000001780	10090.ENSMUSP00000002603	993	Akt1	Scrib	ENSMUSG00000001729	ENSMUSG00000022568
10090.ENSMUSP00000002603	10090.ENSMUSP00000001780	993	Scrib	Akt1	ENSMUSG00000022568	ENSMUSG00000001729
10090.ENSMUSP00000002733	10090.ENSMUSP00000004786	993	Gtf2f1	Polr2e	ENSMUSG00000002658	ENSMUSG00000004667
10090.ENSMUSP00000003274	10090.ENSMUSP00000005601	993	Ebi3	Il27ra	ENSMUSG00000003206	ENSMUSG00000005465
10090.ENSMUSP00000003687	10090.ENSMUSP00000009705	993	Tgfb3	Eng	ENSMUSG00000021253	ENSMUSG00000026814
10090.ENSMUSP00000004786	10090.ENSMUSP00000002733	993	Polr2e	Gtf2f1	ENSMUSG00000004667	ENSMUSG00000002658
10090.ENSMUSP00000005601	10090.ENSMUSP00000003274	993	Il27ra	Ebi3	ENSMUSG00000005465	ENSMUSG00000003206
10090.ENSMUSP00000005601	10090.ENSMUSP00000010605	993	Il27ra	Il12rb2	ENSMUSG00000005465	ENSMUSG00000018341
10090.ENSMUSP00000005923	10090.ENSMUSP00000007212	993	Psmb4	Psmd2	ENSMUSG00000005779	ENSMUSG00000006998
10090.ENSMUSP00000007212	10090.ENSMUSP00000005923	993	Psmd2	Psmb4	ENSMUSG00000006998	ENSMUSG00000005779
10090.ENSMUSP00000009705	10090.ENSMUSP00000003687	993	Eng	Tgfb3	ENSMUSG00000026814	ENSMUSG00000021253
10090.ENSMUSP00000010007	10090.ENSMUSP00000013737	993	Sdhb	Ndufs2	ENSMUSG00000009863	ENSMUSG00000013593
10090.ENSMUSP00000010605	10090.ENSMUSP00000005601	993	Il12rb2	Il27ra	ENSMUSG00000018341	ENSMUSG00000005465
10090.ENSMUSP00000013737	10090.ENSMUSP00000010007	993	Ndufs2	Sdhb	ENSMUSG00000013593	ENSMUSG00000009863
10090.ENSMUSP00000001559	10090.ENSMUSP00000010201	992	Itfg2	Nprl2	ENSMUSG00000001518	ENSMUSG00000010057
10090.ENSMUSP00000003117	10090.ENSMUSP00000009234	992	Ap1m1	Ap1b1	ENSMUSG00000003033	ENSMUSG00000009090
10090.ENSMUSP00000004200	10090.ENSMUSP00000005830	992	Cwc15	Bcas2	ENSMUSG00000004096	ENSMUSG00000005687
10090.ENSMUSP00000004587	10090.ENSMUSP00000005815	992	Clec11a	Kit	ENSMUSG00000004473	ENSMUSG00000005672
10090.ENSMUSP00000004949	10090.ENSMUSP00000013949	992	Traf6	Birc3	ENSMUSG00000027164	ENSMUSG00000032000
10090.ENSMUSP00000005548	10090.ENSMUSP00000005651	992	Hmox1	Por	ENSMUSG00000005413	ENSMUSG00000005514
10090.ENSMUSP00000005647	10090.ENSMUSP00000010007	992	Ndufs3	Sdhb	ENSMUSG00000005510	ENSMUSG00000009863
10090.ENSMUSP00000005651	10090.ENSMUSP00000005548	992	Por	Hmox1	ENSMUSG00000005514	ENSMUSG00000005413
10090.ENSMUSP00000005815	10090.ENSMUSP00000004587	992	Kit	Clec11a	ENSMUSG00000005672	ENSMUSG00000004473
10090.ENSMUSP00000005830	10090.ENSMUSP00000004200	992	Bcas2	Cwc15	ENSMUSG00000005687	ENSMUSG00000004096
10090.ENSMUSP00000007266	10090.ENSMUSP00000008517	992	Lsm2	Prpf31	ENSMUSG00000007050	ENSMUSG00000008373
