STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000001927	ENSMUSP00000001927	ENSMUSG00000001870	Ltbp1
10090.ENSMUSP00000001950	ENSMUSP00000001950	ENSMUSG00000025139	Tollip
10090.ENSMUSP00000001963	ENSMUSP00000001963	ENSMUSG00000020681	Ace
10090.ENSMUSP00000001965	ENSMUSP00000001965	ENSMUSG00000001901	Kcnh6
10090.ENSMUSP00000001974	ENSMUSP00000001974	ENSMUSG00000001909	Trmt1
10090.ENSMUSP00000001975	ENSMUSP00000001975	ENSMUSG00000001910	Nacc1
10090.ENSMUSP00000001984	ENSMUSP00000001984	ENSMUSG00000007209	Ceacam9
10090.ENSMUSP00000001989	ENSMUSP00000001989	ENSMUSG00000001924	Uba1
10090.ENSMUSP00000002008	ENSMUSP00000002008	ENSMUSG00000001943	Vsig2
10090.ENSMUSP00000002011	ENSMUSP00000002011	ENSMUSG00000001946	Esam
10090.ENSMUSP00000002013	ENSMUSP00000002013	ENSMUSG00000001948	Spa17
10090.ENSMUSP00000002029	ENSMUSP00000002029	ENSMUSG00000001964	Emd
10090.ENSMUSP00000002043	ENSMUSP00000002043	ENSMUSG00000078622	Ccdc47
10090.ENSMUSP00000002044	ENSMUSP00000002044	ENSMUSG00000020700	Map3k3
10090.ENSMUSP00000002048	ENSMUSP00000002048	ENSMUSG00000001983	Taco1
10090.ENSMUSP00000002053	ENSMUSP00000002053	ENSMUSG00000001988	Npas1
10090.ENSMUSP00000002063	ENSMUSP00000002063	ENSMUSG00000001998	Ap4e1
10090.ENSMUSP00000002064	ENSMUSP00000002064	ENSMUSG00000001999	Blvra
10090.ENSMUSP00000002079	ENSMUSP00000002079	ENSMUSG00000031385	Plxnb3
10090.ENSMUSP00000002080	ENSMUSP00000002080	ENSMUSG00000002006	Pdzd4
10090.ENSMUSP00000002081	ENSMUSP00000002081	ENSMUSG00000002007	Srpk3
10090.ENSMUSP00000002084	ENSMUSP00000002084	ENSMUSG00000031378	Abcd1
10090.ENSMUSP00000002087	ENSMUSP00000002087	ENSMUSG00000002012	Pnck
10090.ENSMUSP00000002091	ENSMUSP00000002091	ENSMUSG00000002015	Bcap31
10090.ENSMUSP00000002095	ENSMUSP00000002095	ENSMUSG00000002028	Kmt2a
10090.ENSMUSP00000002099	ENSMUSP00000002099	ENSMUSG00000002031	Ift46
10090.ENSMUSP00000002100	ENSMUSP00000002100	ENSMUSG00000002032	Tmem25
10090.ENSMUSP00000002101	ENSMUSP00000002101	ENSMUSG00000002033	Cd3g
10090.ENSMUSP00000002112	ENSMUSP00000002112	ENSMUSG00000002043	Trappc6a
10090.ENSMUSP00000002121	ENSMUSP00000002121	ENSMUSG00000002052	Supt6
10090.ENSMUSP00000002133	ENSMUSP00000002133	ENSMUSG00000002064	Sdf2
10090.ENSMUSP00000002152	ENSMUSP00000002152	ENSMUSG00000002083	Bbc3
10090.ENSMUSP00000002172	ENSMUSP00000002172	ENSMUSG00000002103	Acp2
10090.ENSMUSP00000002180	ENSMUSP00000002180	ENSMUSG00000002111	Spi1
10090.ENSMUSP00000002198	ENSMUSP00000002198	ENSMUSG00000002129	Sf3a1
10090.ENSMUSP00000002259	ENSMUSP00000002259	ENSMUSG00000002190	Clgn
10090.ENSMUSP00000002274	ENSMUSP00000002274	ENSMUSG00000002204	Napsa
10090.ENSMUSP00000002275	ENSMUSP00000002275	ENSMUSG00000002205	Vrk3
10090.ENSMUSP00000002280	ENSMUSP00000002280	ENSMUSG00000002210	Smg9
10090.ENSMUSP00000002284	ENSMUSP00000002284	ENSMUSG00000046223	Plaur
10090.ENSMUSP00000002289	ENSMUSP00000002289	ENSMUSG00000022111	Uchl3
10090.ENSMUSP00000002291	ENSMUSP00000002291	ENSMUSG00000002221	Paxip1
10090.ENSMUSP00000002292	ENSMUSP00000002292	ENSMUSG00000002222	Rmnd5a
10090.ENSMUSP00000002298	ENSMUSP00000002298	ENSMUSG00000002228	Ppm1j
10090.ENSMUSP00000002303	ENSMUSP00000002303	ENSMUSG00000002233	Rhoc
10090.ENSMUSP00000002305	ENSMUSP00000002305	ENSMUSG00000042599	Kdm7a
10090.ENSMUSP00000002320	ENSMUSP00000002320	ENSMUSG00000002250	Ppard
10090.ENSMUSP00000002327	ENSMUSP00000002327	ENSMUSG00000002257	Def6
10090.ENSMUSP00000002336	ENSMUSP00000002336	ENSMUSG00000002266	Zim1
10090.ENSMUSP00000002350	ENSMUSP00000002350	ENSMUSG00000002280	Ciao3
10090.ENSMUSP00000002360	ENSMUSP00000002360	ENSMUSG00000002289	Angptl4
10090.ENSMUSP00000002379	ENSMUSP00000002379	ENSMUSG00000002308	Cd320
10090.ENSMUSP00000002395	ENSMUSP00000002395	ENSMUSG00000002324	Rec8
10090.ENSMUSP00000002397	ENSMUSP00000002397	ENSMUSG00000002326	Gmpr2
10090.ENSMUSP00000002400	ENSMUSP00000002400	ENSMUSG00000002329	Mdp1
10090.ENSMUSP00000002403	ENSMUSP00000002403	ENSMUSG00000002332	Dhrs1
10090.ENSMUSP00000002412	ENSMUSP00000002412	ENSMUSG00000002341	Ncan
10090.ENSMUSP00000002413	ENSMUSP00000002413	ENSMUSG00000002342	Tmem161a
10090.ENSMUSP00000002418	ENSMUSP00000002418	ENSMUSG00000002345	Borcs8
10090.ENSMUSP00000002436	ENSMUSP00000002436	ENSMUSG00000002365	Snx9
10090.ENSMUSP00000002444	ENSMUSP00000002444	ENSMUSG00000024206	Rfx2
10090.ENSMUSP00000002445	ENSMUSP00000002445	ENSMUSG00000002372	Ranbp3
10090.ENSMUSP00000002452	ENSMUSP00000002452	ENSMUSG00000002379	Ndufa11
10090.ENSMUSP00000002456	ENSMUSP00000002456	ENSMUSG00000020622	Nt5c1b
10090.ENSMUSP00000002457	ENSMUSP00000002457	ENSMUSG00000002384	Bmp8b
10090.ENSMUSP00000002466	ENSMUSP00000002466	ENSMUSG00000002393	Nr2f6
10090.ENSMUSP00000002469	ENSMUSP00000002469	ENSMUSG00000002396	Ocel1
10090.ENSMUSP00000002473	ENSMUSP00000002473	ENSMUSG00000031820	Babam1
10090.ENSMUSP00000002487	ENSMUSP00000002487	ENSMUSG00000002413	Braf
10090.ENSMUSP00000002495	ENSMUSP00000002495	ENSMUSG00000041420	Meis3
10090.ENSMUSP00000002502	ENSMUSP00000002502	ENSMUSG00000002428	Hltf
10090.ENSMUSP00000002518	ENSMUSP00000002518	ENSMUSG00000054452	Tle5
10090.ENSMUSP00000002529	ENSMUSP00000002529	ENSMUSG00000002455	Prpf6
10090.ENSMUSP00000002551	ENSMUSP00000002551	ENSMUSG00000002477	Snrpd1
10090.ENSMUSP00000002572	ENSMUSP00000002572	ENSMUSG00000002504	Slc9a3r2
10090.ENSMUSP00000002588	ENSMUSP00000002588	ENSMUSG00000002489	Tiam1
10090.ENSMUSP00000002603	ENSMUSP00000002603	ENSMUSG00000022568	Scrib
10090.ENSMUSP00000002625	ENSMUSP00000002625	ENSMUSG00000002550	Uck1
